Epoch,Training loss,Validation loss,F1 Score (Weighted)
1,0.2823709606654526,0.17123412908553678,0.9655609524525839
2,0.10388365186703265,0.13282264063821317,0.9723514140247191
3,0.05127869044852617,0.13440831445673804,0.9710191306431812
